codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacao
211003,Santa Luzia do Paruá,21019,ZE DOCA,25254
211010,Santa Quitéria do Maranhão,21006,CHAPADINHA,25642
211020,Santa Rita,21013,ROSARIO,37855
211023,Santana do Maranhão,21006,CHAPADINHA,13386
211027,Santo Amaro do Maranhão,21013,ROSARIO,15846
211030,Santo Antônio dos Lopes,21012,PRESIDENTE DUTRA,14528
211040,São Benedito do Rio Preto,21009,ITAPECURU MIRIM,18663
211050,São Bento,21018,VIANA,45211
211060,São Bernardo,21006,CHAPADINHA,28507
211065,São Domingos do Azeitão,21015,SAO JOAO DOS PATOS,7392
211070,São Domingos do Maranhão,21012,PRESIDENTE DUTRA,34376
211080,São Félix de Balsas,21003,BALSAS,4585
211085,São Francisco do Brejão,21001,ACAILANDIA,11798
211090,São Francisco do Maranhão,21017,TIMON,12210
211100,São João Batista,21018,VIANA,20665
211102,São João do Carú,21014,SANTA INES,15808
211105,São João do Paraíso,21008,IMPERATRIZ,11177
211107,São João do Soter,21005,CAXIAS,18543
211110,São João dos Patos,21015,SAO JOAO DOS PATOS,25929
211120,São José de Ribamar,21016,SAO LUIS,177687
211125,São José dos Basílios,21012,PRESIDENTE DUTRA,7641
211130,São Luís,21016,SAO LUIS,1101884
211140,São Luís Gonzaga do Maranhão,21002,BACABAL,18856
211150,São Mateus do Maranhão,21007,CODO,41529
211153,São Pedro da Água Branca,21001,ACAILANDIA,12690
211157,São Pedro dos Crentes,21003,BALSAS,4668
211160,São Raimundo das Mangabeiras,21003,BALSAS,18868
211163,São Raimundo do Doca Bezerra,21010,PEDREIRAS,5237
211167,São Roberto,21010,PEDREIRAS,6719
211170,São Vicente Ferrer,21018,VIANA,22247
211172,Satubinha,21014,SANTA INES,13914
211174,Senador Alexandre Costa,21012,PRESIDENTE DUTRA,11141
211176,Senador La Rocque,21008,IMPERATRIZ,14293
211178,Serrano do Maranhão,21011,PINHEIRO,10253
211180,Sítio Novo,21008,IMPERATRIZ,18081
211190,Sucupira do Norte,21015,SAO JOAO DOS PATOS,10636
211195,Sucupira do Riachão,21015,SAO JOAO DOS PATOS,5660
211200,Tasso Fragoso,21003,BALSAS,8521
211210,Timbiras,21007,CODO,29124
211220,Timon,21017,TIMON,169107
