City Name,State Name,ranking_city,City Name,Dia_mes_ano,Dt,Média de Isolated_city
Milagres do Maranhão,Maranhão,136,Milagres do Maranhão,06/05/2020,06/05/2020,45.20
Matões do Norte,Maranhão,83,Matões do Norte,06/05/2020,06/05/2020,42.10
Matões,Maranhão,19,Matões,06/05/2020,06/05/2020,35.10
Matinha,Maranhão,154,Matinha,06/05/2020,06/05/2020,47.00
Mata Roma,Maranhão,119,Mata Roma,06/05/2020,06/05/2020,44.40
Maranhãozinho,Maranhão,61,Maranhãozinho,06/05/2020,06/05/2020,41.00
Marajá do Sena,Maranhão,207,Marajá do Sena,06/05/2020,06/05/2020,56.40
Maracaçumé,Maranhão,95,Maracaçumé,06/05/2020,06/05/2020,42.70
Magalhães de Almeida,Maranhão,139,Magalhães de Almeida,06/05/2020,06/05/2020,45.60
Luís Domingues,Maranhão,209,Luís Domingues,06/05/2020,06/05/2020,57.50
Loreto,Maranhão,23,Loreto,06/05/2020,06/05/2020,35.70
Lima Campos,Maranhão,172,Lima Campos,06/05/2020,06/05/2020,49.00
Lajeado Novo,Maranhão,6,Lajeado Novo,06/05/2020,06/05/2020,29.00
Lagoa Grande do Maranhão,Maranhão,54,Lagoa Grande do Maranhão,06/05/2020,06/05/2020,40.00
Lagoa do Mato,Maranhão,100,Lagoa do Mato,06/05/2020,06/05/2020,42.90
Lago Verde,Maranhão,104,Lago Verde,06/05/2020,06/05/2020,43.10
Lago dos Rodrigues,Maranhão,21,Lago dos Rodrigues,06/05/2020,06/05/2020,35.10
Lago do Junco,Maranhão,124,Lago do Junco,06/05/2020,06/05/2020,44.80
Lago da Pedra,Maranhão,99,Lago da Pedra,06/05/2020,06/05/2020,42.90
Junco do Maranhão,Maranhão,12,Junco do Maranhão,06/05/2020,06/05/2020,33.30
Joselândia,Maranhão,73,Joselândia,06/05/2020,06/05/2020,41.70
João Lisboa,Maranhão,148,João Lisboa,06/05/2020,06/05/2020,46.50
Jenipapo dos Vieiras,Maranhão,146,Jenipapo dos Vieiras,06/05/2020,06/05/2020,46.30
Jatobá,Maranhão,166,Jatobá,06/05/2020,06/05/2020,48.30
Itinga do Maranhão,Maranhão,150,Itinga do Maranhão,06/05/2020,06/05/2020,46.70
Itapecuru-Mirim,Maranhão,85,Itapecuru-Mirim,06/05/2020,06/05/2020,42.20
Itaipava do Grajaú,Maranhão,200,Itaipava do Grajaú,06/05/2020,06/05/2020,53.30
Imperatriz,Maranhão,118,Imperatriz,06/05/2020,06/05/2020,44.40
Igarapé Grande,Maranhão,162,Igarapé Grande,06/05/2020,06/05/2020,47.90
Igarapé do Meio,Maranhão,29,Igarapé do Meio,06/05/2020,06/05/2020,37.40
Icatu,Maranhão,76,Icatu,06/05/2020,06/05/2020,41.90
Humberto de Campos,Maranhão,186,Humberto de Campos,06/05/2020,06/05/2020,51.10
Guimarães,Maranhão,87,Guimarães,06/05/2020,06/05/2020,42.30
Grajaú,Maranhão,71,Grajaú,06/05/2020,06/05/2020,41.60
Graça Aranha,Maranhão,203,Graça Aranha,06/05/2020,06/05/2020,55.40
Governador Nunes Freire,Maranhão,64,Governador Nunes Freire,06/05/2020,06/05/2020,41.20
Governador Newton Bello,Maranhão,204,Governador Newton Bello,06/05/2020,06/05/2020,56.10
Governador Luiz Rocha,Maranhão,8,Governador Luiz Rocha,06/05/2020,06/05/2020,32.40
Governador Eugênio Barros,Maranhão,191,Governador Eugênio Barros,06/05/2020,06/05/2020,51.60
Governador Edison Lobão,Maranhão,122,Governador Edison Lobão,06/05/2020,06/05/2020,44.60
Governador Archer,Maranhão,50,Governador Archer,06/05/2020,06/05/2020,39.80
Gonçalves Dias,Maranhão,188,Gonçalves Dias,06/05/2020,06/05/2020,51.20
Godofredo Viana,Maranhão,184,Godofredo Viana,06/05/2020,06/05/2020,50.50
Fortuna,Maranhão,47,Fortuna,06/05/2020,06/05/2020,39.70
Fortaleza dos Nogueiras,Maranhão,114,Fortaleza dos Nogueiras,06/05/2020,06/05/2020,44.00
Formosa da Serra Negra,Maranhão,15,Formosa da Serra Negra,06/05/2020,06/05/2020,34.60
Fernando Falcão,Maranhão,120,Fernando Falcão,06/05/2020,06/05/2020,44.40
Feira Nova do Maranhão,Maranhão,4,Feira Nova do Maranhão,06/05/2020,06/05/2020,28.60
Estreito,Maranhão,78,Estreito,06/05/2020,06/05/2020,41.90
Esperantinópolis,Maranhão,62,Esperantinópolis,06/05/2020,06/05/2020,41.10
Duque Bacelar,Maranhão,11,Duque Bacelar,06/05/2020,06/05/2020,33.30
Dom Pedro,Maranhão,81,Dom Pedro,06/05/2020,06/05/2020,42.00
Davinópolis,Maranhão,110,Davinópolis,06/05/2020,06/05/2020,43.60
Cururupu,Maranhão,97,Cururupu,06/05/2020,06/05/2020,42.70
Coroatá,Maranhão,129,Coroatá,06/05/2020,06/05/2020,45.00
Conceição do Lago Açu,Maranhão,35,Conceição do Lago Açu,06/05/2020,06/05/2020,37.70
Colinas,Maranhão,41,Colinas,06/05/2020,06/05/2020,38.90
Coelho Neto,Maranhão,171,Coelho Neto,06/05/2020,06/05/2020,48.60
Codó,Maranhão,121,Codó,06/05/2020,06/05/2020,44.50
Cidelândia,Maranhão,130,Cidelândia,06/05/2020,06/05/2020,45.00
Chapadinha,Maranhão,60,Chapadinha,06/05/2020,06/05/2020,40.80
Centro Novo do Maranhão,Maranhão,135,Centro Novo do Maranhão,06/05/2020,06/05/2020,45.10
Centro do Guilherme,Maranhão,202,Centro do Guilherme,06/05/2020,06/05/2020,55.10
Central do Maranhão,Maranhão,115,Central do Maranhão,06/05/2020,06/05/2020,44.10
Cedral,Maranhão,74,Cedral,06/05/2020,06/05/2020,41.80
Caxias,Maranhão,128,Caxias,06/05/2020,06/05/2020,44.90
Carutapera,Maranhão,183,Carutapera,06/05/2020,06/05/2020,50.30
Carolina,Maranhão,17,Carolina,06/05/2020,06/05/2020,34.80
Capinzal do Norte,Maranhão,77,Capinzal do Norte,06/05/2020,06/05/2020,41.90
Cantanhede,Maranhão,58,Cantanhede,06/05/2020,06/05/2020,40.50
Cândido Mendes,Maranhão,182,Cândido Mendes,06/05/2020,06/05/2020,50.00
Campestre do Maranhão,Maranhão,106,Campestre do Maranhão,06/05/2020,06/05/2020,43.40
Cajari,Maranhão,96,Cajari,06/05/2020,06/05/2020,42.70
Cajapió,Maranhão,195,Cajapió,06/05/2020,06/05/2020,51.90
Cachoeira Grande,Maranhão,5,Cachoeira Grande,06/05/2020,06/05/2020,28.60
Buritirana,Maranhão,84,Buritirana,06/05/2020,06/05/2020,42.10
Buriticupu,Maranhão,133,Buriticupu,06/05/2020,06/05/2020,45.10
Buriti Bravo,Maranhão,38,Buriti Bravo,06/05/2020,06/05/2020,38.20
Buriti,Maranhão,173,Buriti,06/05/2020,06/05/2020,49.00
Brejo,Maranhão,169,Brejo,06/05/2020,06/05/2020,48.60
Bom Lugar,Maranhão,151,Bom Lugar,06/05/2020,06/05/2020,46.80
Bom Jesus das Selvas,Maranhão,30,Bom Jesus das Selvas,06/05/2020,06/05/2020,37.40
Bom Jardim,Maranhão,56,Bom Jardim,06/05/2020,06/05/2020,40.30
Boa Vista do Gurupi,Maranhão,86,Boa Vista do Gurupi,06/05/2020,06/05/2020,42.20
Bernardo do Mearim,Maranhão,1,Bernardo do Mearim,06/05/2020,06/05/2020,22.60
Bequimão,Maranhão,177,Bequimão,06/05/2020,06/05/2020,49.60
Benedito Leite,Maranhão,193,Benedito Leite,06/05/2020,06/05/2020,51.80
Belágua,Maranhão,181,Belágua,06/05/2020,06/05/2020,50.00
Bela Vista do Maranhão,Maranhão,126,Bela Vista do Maranhão,06/05/2020,06/05/2020,44.80
Barreirinhas,Maranhão,101,Barreirinhas,06/05/2020,06/05/2020,43.00
Barra do Corda,Maranhão,132,Barra do Corda,06/05/2020,06/05/2020,45.00
Barão de Grajaú,Maranhão,49,Barão de Grajaú,06/05/2020,06/05/2020,39.80
Balsas,Maranhão,27,Balsas,06/05/2020,06/05/2020,36.90
Bacuri,Maranhão,93,Bacuri,06/05/2020,06/05/2020,42.50
Bacabeira,Maranhão,51,Bacabeira,06/05/2020,06/05/2020,39.80
Bacabal,Maranhão,45,Bacabal,06/05/2020,06/05/2020,39.20
Axixá,Maranhão,40,Axixá,06/05/2020,06/05/2020,38.80
Arari,Maranhão,147,Arari,06/05/2020,06/05/2020,46.40
Arame,Maranhão,43,Arame,06/05/2020,06/05/2020,38.90
