City Name;State Name;ranking_city;City Name;Dia_mes_ano;Dt;Média de Isolated_city
Coroatá;Maranhão;129;Coroatá;06/05/2020;06/05/2020;0,4500
Conceição do Lago Açu;Maranhão;35;Conceição do Lago Açu;06/05/2020;06/05/2020;0,3770
Colinas;Maranhão;41;Colinas;06/05/2020;06/05/2020;0,3890
Coelho Neto;Maranhão;171;Coelho Neto;06/05/2020;06/05/2020;0,4860
Codó;Maranhão;121;Codó;06/05/2020;06/05/2020;0,4450
Cidelândia;Maranhão;130;Cidelândia;06/05/2020;06/05/2020;0,4500
Chapadinha;Maranhão;60;Chapadinha;06/05/2020;06/05/2020;0,4080
Centro Novo do Maranhão;Maranhão;135;Centro Novo do Maranhão;06/05/2020;06/05/2020;0,4510
Centro do Guilherme;Maranhão;202;Centro do Guilherme;06/05/2020;06/05/2020;0,5510
Central do Maranhão;Maranhão;115;Central do Maranhão;06/05/2020;06/05/2020;0,4410
Cedral;Maranhão;74;Cedral;06/05/2020;06/05/2020;0,4180
Caxias;Maranhão;128;Caxias;06/05/2020;06/05/2020;0,4490
Carutapera;Maranhão;183;Carutapera;06/05/2020;06/05/2020;0,5030
Carolina;Maranhão;17;Carolina;06/05/2020;06/05/2020;0,3480
Capinzal do Norte;Maranhão;77;Capinzal do Norte;06/05/2020;06/05/2020;0,4190
Cantanhede;Maranhão;58;Cantanhede;06/05/2020;06/05/2020;0,4050
Cândido Mendes;Maranhão;182;Cândido Mendes;06/05/2020;06/05/2020;0,5000
Campestre do Maranhão;Maranhão;106;Campestre do Maranhão;06/05/2020;06/05/2020;0,4340
Cajari;Maranhão;96;Cajari;06/05/2020;06/05/2020;0,4270
Cajapió;Maranhão;195;Cajapió;06/05/2020;06/05/2020;0,5190
Cachoeira Grande;Maranhão;5;Cachoeira Grande;06/05/2020;06/05/2020;0,2860
Buritirana;Maranhão;84;Buritirana;06/05/2020;06/05/2020;0,4210
Buriticupu;Maranhão;133;Buriticupu;06/05/2020;06/05/2020;0,4510
Buriti Bravo;Maranhão;38;Buriti Bravo;06/05/2020;06/05/2020;0,3820
Buriti;Maranhão;173;Buriti;06/05/2020;06/05/2020;0,4900
Brejo;Maranhão;169;Brejo;06/05/2020;06/05/2020;0,4860
